goos: darwin
goarch: amd64
pkg: github.com/grafana/mimir/pkg/mimirpb
cpu: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12         	    1285	    915504 ns/op	   41696 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12         	    1380	    920705 ns/op	   41696 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12         	    1184	    911390 ns/op	   41696 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12         	    1244	    928360 ns/op	   41696 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_many_requests-12         	    1207	    917371 ns/op	   41696 B/op	      21 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                   	    2648	    447838 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                   	    2416	    445363 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                   	    2404	    455580 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                   	    2254	    489916 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/no_splitting-12                   	    2193	    499453 ns/op	       8 B/op	       1 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12          	    1267	    919914 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12          	    1329	    906281 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12          	    1233	    945193 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12          	    1210	    918873 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_many_series,_many_labels_each,_and_no_metadata/split_in_few_requests-12          	    1245	    918997 ns/op	   27288 B/op	       5 allocs/op
BenchmarkWriteRequest_SplitByMaxMarshalSize/write_request_with_few_metadata,_and_no_series/no_splitting-12                                      	 2677263	       433.0 ns/op	       8 B/op	       1 allocs/op
